Date Quoted,Job Number,Job Name,Location,State,Total Tons,MatCost,Total LH,Profit,Plant Price,Plant Price Ton,Profit LH,K1 Tons,K2 Tons,L2 Tons,L3 Tons,G2 Tons,G3 Tons,L4 Tons,JS Tons,Page,Coordinator,Salesperson,TakeoffPerson
6/23/2016,00-0-0000DM,DENNIS TEST JOB,,WA,15.96732283,12142.6514,3.147448003,0,22191.2764,1389.793182,0,0,12.51072979,0,0,0,0,2.340466738,0,0,,Chris Cline,Customer List
1/27/2017,00-0-0000RD,RUSTY TEST JOB,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARTURO.WISBRUN,Alex Vega,Alex Vega
2/28/2012,00-0-0001,CAL MARITIME PE REPLACEMENT,VALLEJO,CA,32.64081955,29621.6953,2.464999676,9859.998703,46057.6932,1411.045857,4000,0,0,0,0,0,0,32.64081955,0,0,MICHAEL.THOMPSON,Inside,Inside
1/20/2011,00-0-0004KV,KURT TEST,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VOIGTKW,Inside,Inside
4/18/2011,00-0-0012,NEWPORT TOOL,WOODS CROSS,UT,16.75211895,13994.0201,1.684454501,6737.818003,25380.6023,1515.068176,4000,0,0,13.8573513,1.7065413,0,0,0,0,0,ANDREA.REYNOLDS,Chris Varner,Chris Cline
8/25/2011,00-0-0013,WSP,WALLA WALLA,WA,29.18796301,24379.6432,2.628340662,10513.36265,42554.8483,1457.958827,4000,0,0,2.390749693,22.71237946,0,0,0,0,0,JASON.SIBLEY,Damon Hunter,Customer List
1/26/2012,00-0-0015,TEST,PALO ALTO,CA,83.91758669,71316.0488,9.927068233,39708.27293,144821.703,1725.761056,4000,0,25.99649239,0,28.61344528,0,24.95443535,0,0,0,ANDREA.REYNOLDS,Inside,Lani Fabel
10/23/2012,00-0-0017,JIMMYK- TEST,,,8.863849733,7491.6605,0.39243635,1569.745399,11046.6165,1246.254938,4000,0.105881043,0,0.300933897,1.449361444,0,1.065684319,0.246432856,0.03009988,0,JAMES.KLINGERMAN,Damon Hunter,Jason Sibley 
3/5/2011,00-0-0018,ELKO COUNTY SD,ELKO,NV,0.924981356,791.5376,0.134181827,536.7273092,1670.3013,1805.767532,4000,0,0.924981356,0,0,0,0,0,0,0,MICHAEL.THOMPSON,Mike Thompson,Mike Thompson
8/10/2012,00-0-0019,CLINE TEST,FALLON,NV,86.04762684,71079.3618,10.74063474,42962.53896,141573.9819,1645.297925,4000,1.44776535,62.79304886,0,0,0,21.73402405,0,0,0,MICHAEL.THOMPSON,Inside,Inside
11/9/2012,00-0-0022,SAC TEST,SACRAMENTO,CA,0.579462886,457.2985,0.048863638,195.4545528,790.0258,1363.376015,4000,0,0,0.579462886,0,0,0,0,0,0,MICHAEL.THOMPSON,Inside,Inside
2/19/2013,00-0-0024,TK TEST,LOS ANGELES,CA,10.06757671,7882.6063,2.939307213,11757.22885,27089.6688,2690.783452,4000,2.5393641,0,0,0.998456419,0,0,5.359780788,0,0,SHERI.WOOLSEY,Chris Cline,Customer List
10/9/2013,00-0-0026,WIDES,WOODLAND,WA,10.13458061,8341.5437,1.366272569,2732.545137,18137.3814,1789.652882,2000,0,9.039657593,0,0,0,0,0,0,0,MARK.WIDES,Mark Wides,Mark Wides
12/12/2013,00-0-0027,4313-0249 - FREIGHT TEST,LONG BEACH,CA,94.92126504,80789.7159,10.39618635,41584.74541,151084.0895,1591.678002,4000,0,29.42000961,43.89445114,0,0,11.95107365,0,0,0,CHRIS.CLINE,Chris Cline,Jason Sibley 
2/5/2014,00-0-0028,PINOLE TEST JOB - DAVID HAUZE,RICHMOND,CA,8.575881004,7390.457,0.947181702,3788.726807,13632.4199,1589.623258,4000,0,0,0,8.575881004,0,0,0,0,0,OPEN.WEB,Inside,Inside
5/13/2014,00-0-0029,LANI TEST,FALLON,NV,84.71363831,73392.9141,7.085566998,28342.26799,120440.5429,1421.737341,4000,0,0,0,84.71363831,0,0,0,0,0,LANI.FABEL,Lani Fabel,Lani Fabel
8/20/2014,00-0-0032,TK - TEST - ASHLEY FURNITURE,REDLANDS,CA,237.0832044,211873.6895,26.94127464,18326.7913,337853.1891,1425.040588,680.2496,0,0,0,172.1108093,0,0,54.51821518,0,0,TIFFANY.MORRIS,Tony King,Tony King
8/25/2014,00-0-0033,SEATTLE WA,SEATTLE,WA,3.3674016,3022.8621,0.422535479,1690.141916,5807.0891,1724.501497,4000,0,3.3674016,0,0,0,0,0,0,0,HEIDI.MCALEXANDER,Inside,Inside
8/25/2014,00-0-0034,WASHINGTON,SEATTLE ,WA,5.051102638,4534.293,0.633803189,2535.212755,8710.6335,1724.501386,4000,0,5.051102638,0,0,0,0,0,0,0,HEIDI.MCALEXANDER,Inside,Inside
8/25/2014,00-0-0035,SPOKANE,SPOKANE,WA,6.7348032,6045.7241,0.845070958,3380.283833,11594.1782,1721.531848,4000,0,6.7348032,0,0,0,0,0,0,0,HEIDI.MCALEXANDER,Inside,Inside
8/25/2014,00-0-0036,PORTLAND,CASPER,WY,6.7348032,6045.7241,0.845070958,3380.283833,11594.1782,1721.531848,4000,0,6.7348032,0,0,0,0,0,0,0,HEIDI.MCALEXANDER,Inside,Inside
8/7/2015,00-0-0038,JASON TEST2,FALLON,NV,16.03296488,13439.3507,2.175867347,8703.469388,29559.2426,1843.654172,4000,0,0.213320941,0.673232198,0,0,1.624180794,13.49796295,0,0,JASON.SIBLEY,Inside,Inside
10/1/2014,00-0-0039,TOM SCISSOR,FALLON,NV,2.684580088,2410.8154,0.94464016,3778.560638,8516.5124,3172.381573,4000,0,0,0,0,0,0,2.684580088,0,0,CHRIS.CLINE,Inside,Inside
1/28/2015,00-0-0040,JAMIE TEST JOB,RENO,NV,0.282184213,236.4704,0,0,278.798,987.9999899,0,0,0,0,0,0,0,0,0,0,,,
3/20/2015,00-0-0042,KORENS TEST,RENO,NV,0.146665528,110.0517,0.019934516,79.7380656,271.5868,1851.742553,4000,0,0.146665528,0,0,0,0,0,0,0,KOREN.ELLIS,Annalisa Stark,Koren Ellis
4/8/2015,00-0-0043,MILTONS TEST,,,0.140347853,106.1866,0.017357359,69.42943484,249.4238,1777.182865,4000,0,0,0,0,0,0,0.140347853,0,0,SHERI.WOOLSEY,Lani Fabel,Mike Moore
10/7/2015,00-0-0044,GERALD TEST,ROGERS,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Andrea Reynolds,Andrea Reynolds
8/25/2016,00-0-0045,JASON TEST3,NEWPORT,WA,12.02487499,8456.8285,1.56175796,156.1779825,13948.7199,1159.988766,100.0014,0,0.045425713,0,0,0,11.97944927,0,0,0,JASON.SIBLEY,Inside,Inside
1/20/2016,00-0-0046,DH TEST,FALLON,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAMON.HUNTER,Andrea Reynolds,Andrea Reynolds
1/21/2016,00-0-0047,EAGLE MOUNTAIN FREIGHT,EAGLE MT,UT,27.54011995,17821.4279,3.727310568,14909.24227,52070.0609,1890.698407,4000,0,3.275386333,1.389741182,18.55526924,0,1.85273242,0,0,0,CHRIS.CLINE,Chris Cline,Bill Tutty
1/26/2016,00-0-0048,PAHRUMP,PAHRUMP,NV,6.058754191,3833.5165,0.663636327,2654.545307,8790.9052,1450.942706,4000,0,0,5.446843147,0,0,0,0,0,0,CHRIS.CLINE,Inside,Inside
1/29/2016,00-0-0049,TEST,DENVER,TX,1.940541148,1442.7548,0.205037877,820.1515079,2938.5237,1514.280541,4000,0,0,1.940541148,0,0,0,0,0,0,MIKHAIL.BURASH,Bill Kennedy,Bill Harper
5/27/2016,00-0-0050,REPORTING TEST,RENO,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JASON.SIBLEY,Inside,Inside
8/19/2016,00-0-0052,SPRINKLER TEST,RENO,NV,1004.112795,813985.3719,136.4961185,545984.4738,1830966.026,1823.466482,4000,0,0,561.3083496,0,0,1.109449029,395.8746033,0,0,DARIEN.SHANNON,Inside,Inside
1/20/2017,00-0-0053,TEST,FORT WAYNE,IN,791.2638495,615530.5533,92.53547931,-8559.531836,934853.1039,1181.468235,-92.5,0,0,448.5874023,27.77663422,0,234.3950958,34.33417892,0,0,MIKHAIL.BURASH,John Degidio,Milton Figueroa
10/6/2016,00-0-0054,JOHN DEGIDIO TEST JOB,FALLON,NV,0.065833502,46.9417,0.011657738,46.63095251,151.4603,2300.656907,4000,0,0.065833502,0,0,0,0,0,0,0,DARIEN.SHANNON,John Degidio,John Degidio
1/23/2017,00-0-0055,JEFF TEST,FALLON,NV,47.44097519,38510.2812,4.488636017,4488.636017,58546.9843,1234.101619,1000,0,0,47.44097519,0,0,0,0,0,0,JEFF.COKER,Inside,Inside
3/7/2017,00-0-0056,JEFF TEST,DENVER,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JEFF.COKER,Inside,Inside
