J. PO Date,D. PO Date,CB. PO Date,Job Number,Job Name,Location,State,jobstatus,Total Tons,Total LH,Profit,Plant Price,PP / Ton,Profit / LH,K1 Tons,K2 Tons,L2 Tons,L3 Tons,G2 Tons,G3 Tons,L4 Tons,JS Tons,salesperson,takeoffperson,Customer
8/5/2011,,,0111-2001,WINCO #108,PHOENIX,AZ,D9,191.8776073,17.32401657,1732.53,211245.37,1100.938108,100.0074084,0,123.2410507,0,0,0,55.29498672,0,0,Mike Thompson,David Saarela,WINCO FOODS LLC
12/26/2012,,,0112-0008,DAVIS MONTHAN AFB HYDRANT FUEL SYSTEM,TUCSON,AZ,D9,7.818405379,1.357403312,2594.9,12250.6,1566.892404,1911.664704,2.272733703,4.948229313,0,0,0,0,0,0,Mike Powell ,Lani Fabel,J.B. STEEL
12/10/2013,,,0113-0005,VA PRESCOTT MENTAL HEALTH,PRESCOTT ,AZ,D9,9.87,2.705,108.56,11640,1179.331307,40.13308688,0.1,7.77,0,0,0,0,0,0.92,Mike Powell ,Lani Fabel,SOUTHWEST BUILDING SYSTEMS -AZ
8/25/2014,,,0114-0155,DENTAL CLINIC WHITE MEDICAL CENTER,WHITERIVER,AZ,D9,8.97,3.733,802.78,13295.25,1482.190635,215.049558,3.14,4.44,0,0,0,0,0,0,Mike Powell ,Jason Sibley ,SOUTHWEST BUILDING SYSTEMS -AZ
2/26/2015,,,0115-0073,FY14 F-35 SQUADRON OPERATIONS AIRCRAFT,MARICOPA COUNTY,AZ,D9,22.49076544,2.130819678,7195.13,31365.2,1394.58126,3376.695867,0.200656816,7.100108624,11.55,0,0,0,0,0,Mike Powell ,Jason Sibley ,J.B. STEEL
12/9/2015,12/9/2015,,0115-0247,CONSTRUCT FLIGHTLINE FILLSTANDS,LUKE AFB,AZ,D9,0.33,0.008677891,151.46,298.25,903.7878788,17453.55044,0.29,0,0,0,0,0,0,0,Mike Powell ,Koren Ellis,"IRONCO ENTERPRISES, LLC"
2/26/2016,2/26/2016,,0116-0126,AZ GENERAL ER GILVERT & BASELINE,MESA,AZ,D9,5.089465866,0.695199758,1111.91,9361.8,1839.446466,1599.410799,1.824952126,2.26,0,0,0,0,0,0,Mike Powell ,Daniela Saldana,DESERT STRUCTURES
10/21/2016,,,0116-0135,BUYAM **AZGH TEMPE RURAL & BASELINE,TEMPE,AZ,L1,5.671645224,0.796198174,816.26,8206.15,1446.87294,1025.197025,0.769857764,3.915875912,0,0,0,0,0,0,Mike Powell ,Daniela Saldana,SKYLINE STEEL INC
2/13/2017,,,0116-0427,TYR TACTICAL ,PEORIA,AZ,L9,18.51,2.428215981,0,21380.42,1155.074014,0,0,0,0,0,0,18.51,0,0,Mike Powell ,Jorge Vasquez,NEW MILLENNIUM- JZ
2/16/2017,,,0116-0596,PARK LUCERO PHASE III (W),GILBERT,AZ,L9,64.34,8.41601944,0.88,73414,1141.032017,0.104562496,0,0,0,0,0,64.34,0,0,,,NEW MILLENNIUM- JZ
2/13/2017,,,0116-0656,SURPRISE MARKETPLACE AT THE CITY,SUPRISE ,AZ,L9,22.94848595,2.450025082,0,27056.27,1179.000221,0,0,19.31,0,0,0,0,0,0,Mike Powell ,Daniela Saldana,NEW MILLENNIUM- JZ
1/19/2017,1/19/2017,,0117-0040,*BUY AA*CHRISTOWN MALL ,SCOTTSDALE,AZ,L9,5.72,0.493221194,493.31,7345,1284.090909,1000.180054,0,3.81,0,0,0,0,0,0,Chris Cline,Customer List,"STEEL ENCOUNTERS, INC"
12/14/2011,12/14/2011,,3111-0093,CANNON AFB UNMANNED AERIAL SUPPORT,CLOVIS,NM,D9,37.93,6.310147285,3155.73,49631.12,1308.492486,500.1040162,10.84,20.91,0,0,0,0,0,0,Roger Davis,David Saarela,STRONG STRUCTURAL STEEL
10/21/2011,,,3111-0125,ARSENIC TREATMENT PLANT,SOCORRO,NM,L9,5.02686584,0.514999956,598.52,5955.27,1184.68847,1162.174857,0,4.252286434,0,0,0,0,0,0,Ruben Hernandez,Guy Gibson,STEEL SPECIALTIES INC
12/4/2012,,,3111-0153A,OUTPATIENT MENTAL HEALTH EXP.,ALBUQUERQUE,NM,D9,4.15528857,0.5678882,1136.72,5905,1421.080606,2001.661594,0,3.43,0,0,0,0,0,0,Ed Tyk,Inside,ALSTATE STEEL
6/30/2015,,,3115-0075,PHASE 4 MID PLUME PUMP & TREAT SYSTEM ,KIRTLAND AFB ,NM,D9,8.26,2.05,4229.68,14436.3,1747.736077,2063.258537,0.93,0,6.69,0,0,0,0,0,Ed Tyk,Jason Sibley ,PACE METALS NORTH 
2/10/2017,,,3816-0229,MOUNTAIN AIR HIGH JUNIOR SCHOOL,MOUNTAINAIR,NM,L9,18.41823444,1.9223138,0,21387.74,1161.226396,0,0.085946828,16.92,0,0,0,0,0,0,Ed Tyk,Jorge Vasquez,NEW MILLENNIUM- JZ
12/7/2016,12/7/2016,,3816-0274,BUYAM *CISD INTERMEDIATE SCHOOL,AMARILLO,TX,D6,43.38343769,4.881626338,9763.37,55659.5,1282.966564,2000.024034,4.477185249,26.2,4.03,2.346252441,0,0,0,0,Ed Tyk,Daniela Saldana,W & W STEEL LLC - TX
11/9/2010,,,4310-0005,ALOHA PETROLEUM,LOS ANGELES,CA,D9,0,0,1129.47,3196.5,0,0,0,0,0,0,0,0,0,0,Mike Thompson,Mike Thompson,"ICSW, INC"
11/8/2010,,,4310-0024,INDOOR SMALL ARMS RANGE,MARCH AIRFORCE BASE,CA,D9,0,0,8007.59,90079.25,0,0,0,0,0,0,0,0,0,0,Jon Clemens,Jon Clemens,NORGATE
11/10/2010,,,4310-0027,PACIFIC BASIN AGG RESEARCH CENTER,LOS ANGELES,CA,D9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mike Thompson,Inside,"ICSW, INC"
12/17/2010,,,4310-0034,USMC EXCHANGE,CAMP PENDLETON,CA,D9,0,0,-2111.72,348762,0,0,0,0,0,0,0,0,0,0,Victor Karl,Victor Karl,HASKELL
12/23/2010,,,4310-0043,SYSCO,SAN DIEGO,CA,D9,0,0,0.49,132128.6,0,0,0,0,0,0,0,0,0,0,Kelly Robins,Kelly Robins,STALEY STEEL INC.
12/21/2010,,,4310-0044,UCSD HEALTH SERVICES,LA JOLLA,CA,L9,0,0,31915.31,177040,0,0,0,0,0,0,0,0,0,0,Damon Hunter,Customer List,"JD2, INC."
2/9/2011,,,4311-0004,WYNRIGHT CHINO / SKECHERS,MORENO VALLEY,CA,L9,0,0,696.41,11102.13,0,0,0,0,0,0,0,0,0,0,John Harn,Customer List,MID-CONTINENT CORP (MIDCO)
8/15/2011,,,4311-0012,F22 HANGER HICKAM AFB HI,LA DOCKS,CA,D9,79.87176316,10.75740618,17110.7,112413,1407.418536,1590.597187,10.03,37.91,9.27,9.09,0,0,0,4.83,Ken Smith,David Saarela,CONSTRUCTION PRODUCTS DISTRIBU
6/8/2011,,,4311-0020,PERRIS LOGISTICS CENTER,PERRIS,CA,L9,895.5861785,83.98673612,-2809.63,935828.8,1044.934393,-33.45325857,0,11.10207462,390.3665161,135.718399,0,305.3761902,0,0,Damon Hunter,Damon Hunter,"PANELIZED STRUCTURES, INC"
7/13/2011,,,4311-0038,RITE AIDE LANCASTER,LANCASTER ,CA,D9,0,0,1412.87,18876.2,0,0,0,0,0,0,0,0,0,0,Damon Hunter,Damon Hunter,"MECHANICAL MATERIAL SALES, INC"
6/21/2011,,,4311-0039,ADELANTO PROCESSING CENTER WEST,ADELANTO,CA,D9,0,0,33958.9,304863.05,0,0,0,0,0,0,0,0,0,0,Kelly Robins,Kelly Robins,BECK STEEL INC.
9/9/2011,,,4311-0060,WALGREENS STORE #12529,LOS ANGELES,CA,D9,0,0,741.03,10493.53,0,0,0,0,0,0,0,0,0,0,Damon Hunter,David Saarela,"MECHANICAL MATERIAL SALES, INC"
10/28/2011,,,4311-0073,AUTO SERVICE MIRAMAR,MIRAMAR,CA,D9,7.912242098,0.862045884,1980.01,11096.8,1402.484891,2296.873097,1.89,3.127530575,0,0,0,0.901877403,0,0,Victor Karl,Lani Fabel,HASKELL
9/7/2011,,,4311-0075,BLDG 100 CIC RETAIL,SAN JOSE,CA,L9,0,0,13.58,18489.06,0,0,0,0,0,0,0,0,0,0,Damon Hunter,Customer List,"JD2, INC."
10/13/2011,,,4311-0090,MODESTO GOSPEL MISSION REVISED,MODESTO,CA,L9,3.627198532,0.455454558,281.21,5014.14,1382.372637,617.4271285,0,3.47244525,0,0,0,0,0,0,Damon Hunter,Customer List,"PANELIZED STRUCTURES, INC"
12/27/2011,,,4311-0096,RH MATTHEWS,COSTA MESA,CA,L9,33.30685084,3.580442786,-1459.04,40140.77,1205.180585,-407.5026714,0,0,0,25.83969688,0,4.8355093,0,0,Damon Hunter,Guy Gibson,"PANELIZED STRUCTURES, INC"
12/16/2011,,,4311-0116,PACIFIC & MARLAY DISTRIBUTION,FONTANA,CA,D9,0,1.957522631,226.31,470317.18,0,115.6104131,0,0,0,0,0,0,0,0,Ken Smith,Chris Cline,"DUKE PACIFIC, INC."
3/12/2012,,,4311-0124,P750 HELICOPTER MAINTENANCE HANGER,CORONADO,CA,D9,21.66,2.717568181,2552.73,29849,1378.070175,939.3434974,0.38,19.39,0,0,0,0,0,0,Kelly Robins,Seamus Robins,BECK STEEL INC.
4/11/2012,,,4312-0007,RECORDS MANAGEMENT FACILITY CORODATA,ESCONDITO,CA,D9,4.59,0.596000016,596.21,6759.84,1472.732026,1000.352323,0,0,0.74,3.75,0,0,0,0,Martha Leon,Lani Fabel,CORKY'S WELDING
