Job Number,Job Name,Customer,Sold,Cust Number,J.QTY(Base),Grd.QTY(Base),J.Tons(Base),J.Sell Price(Base),BOJ.Sell Price(Base),D.Tons(Base),D.Sell Price(Base),BOD.Sell Price(Base),BOCstBms QTY(Base),BOCstBms Sell Price(Base),J.QTY(Alt),Grd.QTY(Alt),J.Tons(Alt),J.Sell Price(Alt),BOJ.Sell Price(Alt),D.Tons(Alt),D.Sell Price(Alt),BOD.Sell Price(Alt),BOCstBms QTY(Alt),BOCstBms Sell Price(Alt),J.QTY(Ded),Grd.QTY(Ded),J.Tons(Ded),J.Sell Price(Ded),BOJ.Sell Price(Ded),D.Tons(Ded),D.Sell Price(Ded),BOD.Sell Price(Ded),BOCstBms QTY(Ded),BOCstBms Sell Price(Ded),J.Tons Sold,D.Tons Sold,BOCstBms.Tons Sold,J. Sold Amnt,D. Sold Amnt,BOCstBms. Sold Amnt,SalesPerson,TakeOffPerson,Quote SalesPerson,Quote TakeOffPerson,BO Deck Sell.,BO Deck Profit,Quote Page Tot.,City,State,Job Last Changed,Quote DSM
0115-0210  ,CSI TRANSFER - CORNERSTONE CHURCH,J.B. STEEL,No,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Inside,Inside,0,0,0,CHANDLER,AZ,2/1/2016,Mike Powell 
0115-0260  ,TUCSON AZ NATURAL FOOD MARKET,NEW MILLENNIUM- JZ,No,74,0,0,0,0,0,12.37,12524.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Inside,Inside,0,0,12524.64,TUCSON,AZ,2/26/2016,
0115-0303  ,SOUTHWEST GAS SIERRA VISTA OFFICE,NEW MILLENNIUM- JZ,No,74,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Inside,Inside,0,0,125,SIERRA VISTA,AZ,3/17/2016,
0115-0316  ,MARICOPA COUNTY SOUTHWEST JUSTICE CENTER,NEW MILLENNIUM- JZ,No,74,0,0,0,0,0,0.02,511.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Inside,Inside,0,0,511.25,AVONDALE,AZ,3/31/2016,
0115-0402  ,MARANA PICTURE ROCKS,NEW MILLENNIUM- JZ,No,74,0,0,0,0,0,1.47,2180.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Inside,Inside,0,0,2180.25,TUCSON,AZ,3/16/2016,
0115-0449  ,BALSZ BPUS & GIRLS CLUB,NEW MILLENNIUM- JZ,No,74,0,0,0,0,0,1.38,1843.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Inside,Inside,0,0,1843.78,PHOENIX,AZ,3/10/2016,
0115-0777  ,T-STAT 5,"STEEL ENCOUNTERS, INC",No,2,93,0,34.12,112165.62,0,0,0,200675.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Inside,Inside,0,0,312841,LEHI,UT,10/10/2016,Chris Cline
0115-0777  ,T-STAT 5,JT STEEL,No,893,186,0,68.24,163496.38,0,0,0,401350.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Inside,Inside,0,0,564847,LEHI,UT,10/10/2016,
0116-0002  ,MCDOWELL MOUNTAIN COMMUNITY CHURCH,NEW MILLENNIUM- JZ,No,74,0,0,0,0,0,16.13,15945.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Inside,Inside,0,0,15945.37,SCOTTSDALE,AZ,2/2/2016,
0116-0005  ,DIGNITY HEALTH MESA,NEW MILLENNIUM- JZ,No,74,0,0,0,0,0,94.33,85881.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Inside,Inside,0,0,85881.9,MESA,AZ,1/29/2016,
